
Epoch 1/100, Training Loss: 0.0625, Relative Loss: 0.1033
Epoch 11/100, Training Loss: 0.0082, Relative Loss: 0.0135
Epoch 21/100, Training Loss: 0.0054, Relative Loss: 0.0090
Epoch 31/100, Training Loss: 0.0043, Relative Loss: 0.0070
Epoch 41/100, Training Loss: 0.0033, Relative Loss: 0.0054
Epoch 51/100, Training Loss: 0.0028, Relative Loss: 0.0047
Epoch 61/100, Training Loss: 0.0026, Relative Loss: 0.0042
Epoch 71/100, Training Loss: 0.0025, Relative Loss: 0.0041
Epoch 81/100, Training Loss: 0.0022, Relative Loss: 0.0036
Epoch 91/100, Training Loss: 0.0019, Relative Loss: 0.0031
Test Loss: 0.0015, Relative Loss: 0.0024
