
Epoch 1/100, Training Loss: 0.0631, Relative Loss: 0.1043
Epoch 11/100, Training Loss: 0.0076, Relative Loss: 0.0125
Epoch 21/100, Training Loss: 0.0049, Relative Loss: 0.0080
Epoch 31/100, Training Loss: 0.0039, Relative Loss: 0.0065
Epoch 41/100, Training Loss: 0.0032, Relative Loss: 0.0053
Epoch 51/100, Training Loss: 0.0029, Relative Loss: 0.0049
Epoch 61/100, Training Loss: 0.0027, Relative Loss: 0.0045
Epoch 71/100, Training Loss: 0.0024, Relative Loss: 0.0040
Epoch 81/100, Training Loss: 0.0022, Relative Loss: 0.0036
Epoch 91/100, Training Loss: 0.0020, Relative Loss: 0.0032
Test Loss: 0.0015, Relative Loss: 0.0024
