
Epoch 1/100, Training Loss: 0.0601, Relative Loss: 0.0994
Epoch 11/100, Training Loss: 0.0074, Relative Loss: 0.0122
Epoch 21/100, Training Loss: 0.0049, Relative Loss: 0.0080
Epoch 31/100, Training Loss: 0.0035, Relative Loss: 0.0057
Epoch 41/100, Training Loss: 0.0028, Relative Loss: 0.0046
Epoch 51/100, Training Loss: 0.0024, Relative Loss: 0.0040
Epoch 61/100, Training Loss: 0.0022, Relative Loss: 0.0036
Epoch 71/100, Training Loss: 0.0020, Relative Loss: 0.0033
Epoch 81/100, Training Loss: 0.0018, Relative Loss: 0.0029
Epoch 91/100, Training Loss: 0.0016, Relative Loss: 0.0026
Test Loss: 0.0019, Relative Loss: 0.0032
