
Epoch 1/100, Training Loss: 0.0612, Relative Loss: 0.1012
Epoch 11/100, Training Loss: 0.0080, Relative Loss: 0.0133
Epoch 21/100, Training Loss: 0.0054, Relative Loss: 0.0090
Epoch 31/100, Training Loss: 0.0044, Relative Loss: 0.0072
Epoch 41/100, Training Loss: 0.0033, Relative Loss: 0.0055
Epoch 51/100, Training Loss: 0.0028, Relative Loss: 0.0046
Epoch 61/100, Training Loss: 0.0023, Relative Loss: 0.0037
Epoch 71/100, Training Loss: 0.0020, Relative Loss: 0.0033
Epoch 81/100, Training Loss: 0.0018, Relative Loss: 0.0029
Epoch 91/100, Training Loss: 0.0016, Relative Loss: 0.0026
Test Loss: 0.0012, Relative Loss: 0.0019
