
Epoch 1/100, Training Loss: 793.9393, Relative Loss: 55.6073
Epoch 11/100, Training Loss: 2.3337, Relative Loss: 0.1634
Epoch 21/100, Training Loss: 1.7808, Relative Loss: 0.1247
Epoch 31/100, Training Loss: 1.5883, Relative Loss: 0.1112
Epoch 41/100, Training Loss: 1.4050, Relative Loss: 0.0984
Epoch 51/100, Training Loss: 1.3270, Relative Loss: 0.0929
Epoch 61/100, Training Loss: 1.2340, Relative Loss: 0.0864
Epoch 71/100, Training Loss: 1.1982, Relative Loss: 0.0839
Epoch 81/100, Training Loss: 1.1615, Relative Loss: 0.0814
Epoch 91/100, Training Loss: 1.1077, Relative Loss: 0.0776
Test Loss: 0.9842, Relative Loss: 0.0689
