
Epoch 1/100, Training Loss: 820.0897, Relative Loss: 57.4389
Epoch 11/100, Training Loss: 2.3779, Relative Loss: 0.1666
Epoch 21/100, Training Loss: 1.6984, Relative Loss: 0.1190
Epoch 31/100, Training Loss: 1.4806, Relative Loss: 0.1037
Epoch 41/100, Training Loss: 1.3522, Relative Loss: 0.0947
Epoch 51/100, Training Loss: 1.2764, Relative Loss: 0.0894
Epoch 61/100, Training Loss: 1.2282, Relative Loss: 0.0860
Epoch 71/100, Training Loss: 1.1707, Relative Loss: 0.0820
Epoch 81/100, Training Loss: 1.1101, Relative Loss: 0.0778
Epoch 91/100, Training Loss: 1.0890, Relative Loss: 0.0763
Test Loss: 1.1649, Relative Loss: 0.0816
