
Epoch 1/100, Training Loss: 893.3397, Relative Loss: 62.5693
Epoch 11/100, Training Loss: 2.1649, Relative Loss: 0.1516
Epoch 21/100, Training Loss: 1.6292, Relative Loss: 0.1141
Epoch 31/100, Training Loss: 1.4523, Relative Loss: 0.1017
Epoch 41/100, Training Loss: 1.2891, Relative Loss: 0.0903
Epoch 51/100, Training Loss: 1.2319, Relative Loss: 0.0863
Epoch 61/100, Training Loss: 1.1631, Relative Loss: 0.0815
Epoch 71/100, Training Loss: 1.0893, Relative Loss: 0.0763
Epoch 81/100, Training Loss: 1.0482, Relative Loss: 0.0734
Epoch 91/100, Training Loss: 1.0348, Relative Loss: 0.0725
Test Loss: 1.1435, Relative Loss: 0.0801
