
Epoch 1/100, Training Loss: 795.0354, Relative Loss: 55.6841
Epoch 11/100, Training Loss: 2.3282, Relative Loss: 0.1631
Epoch 21/100, Training Loss: 1.7419, Relative Loss: 0.1220
Epoch 31/100, Training Loss: 1.5459, Relative Loss: 0.1083
Epoch 41/100, Training Loss: 1.4267, Relative Loss: 0.0999
Epoch 51/100, Training Loss: 1.3072, Relative Loss: 0.0916
Epoch 61/100, Training Loss: 1.2390, Relative Loss: 0.0868
Epoch 71/100, Training Loss: 1.1470, Relative Loss: 0.0803
Epoch 81/100, Training Loss: 1.0972, Relative Loss: 0.0768
Epoch 91/100, Training Loss: 1.1047, Relative Loss: 0.0774
Test Loss: 1.4003, Relative Loss: 0.0981
