
Epoch 1/100, Training Loss: 0.0705, Relative Loss: 0.2625
Epoch 11/100, Training Loss: 0.0032, Relative Loss: 0.0118
Epoch 21/100, Training Loss: 0.0023, Relative Loss: 0.0084
Epoch 31/100, Training Loss: 0.0018, Relative Loss: 0.0067
Epoch 41/100, Training Loss: 0.0015, Relative Loss: 0.0057
Epoch 51/100, Training Loss: 0.0014, Relative Loss: 0.0053
Epoch 61/100, Training Loss: 0.0013, Relative Loss: 0.0050
Epoch 71/100, Training Loss: 0.0013, Relative Loss: 0.0048
Epoch 81/100, Training Loss: 0.0013, Relative Loss: 0.0047
Epoch 91/100, Training Loss: 0.0012, Relative Loss: 0.0045
Test Loss: 0.0011, Relative Loss: 0.0041
