
Epoch 1/100, Training Loss: 1.5812, Relative Loss: 1.3782
Epoch 11/100, Training Loss: 0.5498, Relative Loss: 0.4792
Epoch 21/100, Training Loss: 0.4398, Relative Loss: 0.3834
Epoch 31/100, Training Loss: 0.3881, Relative Loss: 0.3383
Epoch 41/100, Training Loss: 0.3615, Relative Loss: 0.3151
Epoch 51/100, Training Loss: 0.3408, Relative Loss: 0.2970
Epoch 61/100, Training Loss: 0.3251, Relative Loss: 0.2833
Epoch 71/100, Training Loss: 0.3152, Relative Loss: 0.2748
Epoch 81/100, Training Loss: 0.3091, Relative Loss: 0.2694
Epoch 91/100, Training Loss: 0.3037, Relative Loss: 0.2647
Test Loss: 0.2997, Relative Loss: 0.2612
