
Epoch 1/100, Training Loss: 1.5718, Relative Loss: 1.3701
Epoch 11/100, Training Loss: 0.5434, Relative Loss: 0.4736
Epoch 21/100, Training Loss: 0.4514, Relative Loss: 0.3934
Epoch 31/100, Training Loss: 0.4037, Relative Loss: 0.3519
Epoch 41/100, Training Loss: 0.3803, Relative Loss: 0.3315
Epoch 51/100, Training Loss: 0.3602, Relative Loss: 0.3140
Epoch 61/100, Training Loss: 0.3420, Relative Loss: 0.2981
Epoch 71/100, Training Loss: 0.3286, Relative Loss: 0.2864
Epoch 81/100, Training Loss: 0.3198, Relative Loss: 0.2788
Epoch 91/100, Training Loss: 0.3116, Relative Loss: 0.2716
Test Loss: 0.3003, Relative Loss: 0.2618
