
Epoch 1/100, Training Loss: 1.5623, Relative Loss: 1.3618
Epoch 11/100, Training Loss: 0.5092, Relative Loss: 0.4438
Epoch 21/100, Training Loss: 0.4147, Relative Loss: 0.3615
Epoch 31/100, Training Loss: 0.3834, Relative Loss: 0.3342
Epoch 41/100, Training Loss: 0.3629, Relative Loss: 0.3164
Epoch 51/100, Training Loss: 0.3493, Relative Loss: 0.3045
Epoch 61/100, Training Loss: 0.3378, Relative Loss: 0.2944
Epoch 71/100, Training Loss: 0.3293, Relative Loss: 0.2870
Epoch 81/100, Training Loss: 0.3209, Relative Loss: 0.2797
Epoch 91/100, Training Loss: 0.3173, Relative Loss: 0.2766
Test Loss: 0.3085, Relative Loss: 0.2689
