
Epoch 1/100, Training Loss: 795.5968, Relative Loss: 60.8189
Epoch 11/100, Training Loss: 11.2795, Relative Loss: 0.8623
Epoch 21/100, Training Loss: 9.2415, Relative Loss: 0.7065
Epoch 31/100, Training Loss: 8.4002, Relative Loss: 0.6421
Epoch 41/100, Training Loss: 7.7779, Relative Loss: 0.5946
Epoch 51/100, Training Loss: 7.5008, Relative Loss: 0.5734
Epoch 61/100, Training Loss: 7.0993, Relative Loss: 0.5427
Epoch 71/100, Training Loss: 6.9126, Relative Loss: 0.5284
Epoch 81/100, Training Loss: 6.6671, Relative Loss: 0.5097
Epoch 91/100, Training Loss: 6.6457, Relative Loss: 0.5080
Test Loss: 7.1291, Relative Loss: 0.5450
