
Epoch 1/100, Training Loss: 784.7805, Relative Loss: 59.9921
Epoch 11/100, Training Loss: 11.8835, Relative Loss: 0.9084
Epoch 21/100, Training Loss: 9.6780, Relative Loss: 0.7398
Epoch 31/100, Training Loss: 8.6308, Relative Loss: 0.6598
Epoch 41/100, Training Loss: 7.9341, Relative Loss: 0.6065
Epoch 51/100, Training Loss: 7.5547, Relative Loss: 0.5775
Epoch 61/100, Training Loss: 7.2638, Relative Loss: 0.5553
Epoch 71/100, Training Loss: 7.0905, Relative Loss: 0.5420
Epoch 81/100, Training Loss: 6.8317, Relative Loss: 0.5222
Epoch 91/100, Training Loss: 6.5680, Relative Loss: 0.5021
Test Loss: 6.2426, Relative Loss: 0.4772
