
Epoch 1/100, Training Loss: 359.2501, Relative Loss: 40.2127
Epoch 11/100, Training Loss: 0.0977, Relative Loss: 0.0109
Epoch 21/100, Training Loss: 0.0645, Relative Loss: 0.0072
Epoch 31/100, Training Loss: 0.0533, Relative Loss: 0.0060
Epoch 41/100, Training Loss: 0.0472, Relative Loss: 0.0053
Epoch 51/100, Training Loss: 0.0406, Relative Loss: 0.0045
Epoch 61/100, Training Loss: 0.0383, Relative Loss: 0.0043
Epoch 71/100, Training Loss: 0.0355, Relative Loss: 0.0040
Epoch 81/100, Training Loss: 0.0353, Relative Loss: 0.0039
Epoch 91/100, Training Loss: 0.0351, Relative Loss: 0.0039
Test Loss: 0.0262, Relative Loss: 0.0029
