
Epoch 1/100, Training Loss: 343.7662, Relative Loss: 38.4795
Epoch 11/100, Training Loss: 0.0883, Relative Loss: 0.0099
Epoch 21/100, Training Loss: 0.0556, Relative Loss: 0.0062
Epoch 31/100, Training Loss: 0.0453, Relative Loss: 0.0051
Epoch 41/100, Training Loss: 0.0427, Relative Loss: 0.0048
Epoch 51/100, Training Loss: 0.0362, Relative Loss: 0.0041
Epoch 61/100, Training Loss: 0.0352, Relative Loss: 0.0039
Epoch 71/100, Training Loss: 0.0325, Relative Loss: 0.0036
Epoch 81/100, Training Loss: 0.0325, Relative Loss: 0.0036
Epoch 91/100, Training Loss: 0.0318, Relative Loss: 0.0036
Test Loss: 0.0413, Relative Loss: 0.0046
