
Epoch 1/100, Training Loss: 0.0853, Relative Loss: 0.5313
Epoch 11/100, Training Loss: 0.0090, Relative Loss: 0.0559
Epoch 21/100, Training Loss: 0.0049, Relative Loss: 0.0302
Epoch 31/100, Training Loss: 0.0040, Relative Loss: 0.0247
Epoch 41/100, Training Loss: 0.0035, Relative Loss: 0.0218
Epoch 51/100, Training Loss: 0.0032, Relative Loss: 0.0198
Epoch 61/100, Training Loss: 0.0029, Relative Loss: 0.0182
Epoch 71/100, Training Loss: 0.0027, Relative Loss: 0.0169
Epoch 81/100, Training Loss: 0.0026, Relative Loss: 0.0164
Epoch 91/100, Training Loss: 0.0025, Relative Loss: 0.0158
Test Loss: 0.0024, Relative Loss: 0.0146
