
Epoch 1/100, Training Loss: 0.0823, Relative Loss: 0.5123
Epoch 11/100, Training Loss: 0.0092, Relative Loss: 0.0572
Epoch 21/100, Training Loss: 0.0051, Relative Loss: 0.0316
Epoch 31/100, Training Loss: 0.0041, Relative Loss: 0.0256
Epoch 41/100, Training Loss: 0.0036, Relative Loss: 0.0226
Epoch 51/100, Training Loss: 0.0033, Relative Loss: 0.0205
Epoch 61/100, Training Loss: 0.0030, Relative Loss: 0.0188
Epoch 71/100, Training Loss: 0.0029, Relative Loss: 0.0183
Epoch 81/100, Training Loss: 0.0028, Relative Loss: 0.0173
Epoch 91/100, Training Loss: 0.0026, Relative Loss: 0.0162
Test Loss: 0.0021, Relative Loss: 0.0129
