
Epoch 1/100, Training Loss: 0.0737, Relative Loss: 0.4588
Epoch 11/100, Training Loss: 0.0100, Relative Loss: 0.0622
Epoch 21/100, Training Loss: 0.0058, Relative Loss: 0.0361
Epoch 31/100, Training Loss: 0.0044, Relative Loss: 0.0271
Epoch 41/100, Training Loss: 0.0038, Relative Loss: 0.0237
Epoch 51/100, Training Loss: 0.0035, Relative Loss: 0.0215
Epoch 61/100, Training Loss: 0.0032, Relative Loss: 0.0198
Epoch 71/100, Training Loss: 0.0030, Relative Loss: 0.0190
Epoch 81/100, Training Loss: 0.0029, Relative Loss: 0.0179
Epoch 91/100, Training Loss: 0.0028, Relative Loss: 0.0173
Test Loss: 0.0027, Relative Loss: 0.0165
