
Epoch 1/100, Training Loss: 0.0777, Relative Loss: 0.4837
Epoch 11/100, Training Loss: 0.0083, Relative Loss: 0.0519
Epoch 21/100, Training Loss: 0.0049, Relative Loss: 0.0305
Epoch 31/100, Training Loss: 0.0040, Relative Loss: 0.0251
Epoch 41/100, Training Loss: 0.0035, Relative Loss: 0.0217
Epoch 51/100, Training Loss: 0.0033, Relative Loss: 0.0203
Epoch 61/100, Training Loss: 0.0029, Relative Loss: 0.0181
Epoch 71/100, Training Loss: 0.0028, Relative Loss: 0.0176
Epoch 81/100, Training Loss: 0.0027, Relative Loss: 0.0169
Epoch 91/100, Training Loss: 0.0026, Relative Loss: 0.0159
Test Loss: 0.0026, Relative Loss: 0.0159
