
Epoch 1/100, Training Loss: 3.8955, Relative Loss: 1.3944
Epoch 11/100, Training Loss: 0.4955, Relative Loss: 0.1774
Epoch 21/100, Training Loss: 0.4009, Relative Loss: 0.1435
Epoch 31/100, Training Loss: 0.3597, Relative Loss: 0.1288
Epoch 41/100, Training Loss: 0.3274, Relative Loss: 0.1172
Epoch 51/100, Training Loss: 0.3021, Relative Loss: 0.1081
Epoch 61/100, Training Loss: 0.2818, Relative Loss: 0.1009
Epoch 71/100, Training Loss: 0.2665, Relative Loss: 0.0954
Epoch 81/100, Training Loss: 0.2554, Relative Loss: 0.0914
Epoch 91/100, Training Loss: 0.2461, Relative Loss: 0.0881
Test Loss: 0.2275, Relative Loss: 0.0814
