
Epoch 1/100, Training Loss: 3.9543, Relative Loss: 1.4154
Epoch 11/100, Training Loss: 0.4785, Relative Loss: 0.1713
Epoch 21/100, Training Loss: 0.3907, Relative Loss: 0.1399
Epoch 31/100, Training Loss: 0.3455, Relative Loss: 0.1237
Epoch 41/100, Training Loss: 0.3165, Relative Loss: 0.1133
Epoch 51/100, Training Loss: 0.2952, Relative Loss: 0.1057
Epoch 61/100, Training Loss: 0.2776, Relative Loss: 0.0994
Epoch 71/100, Training Loss: 0.2634, Relative Loss: 0.0943
Epoch 81/100, Training Loss: 0.2536, Relative Loss: 0.0908
Epoch 91/100, Training Loss: 0.2449, Relative Loss: 0.0877
Test Loss: 0.2320, Relative Loss: 0.0830
