
Epoch 1/100, Training Loss: 3.8885, Relative Loss: 1.3919
Epoch 11/100, Training Loss: 0.5044, Relative Loss: 0.1805
Epoch 21/100, Training Loss: 0.4094, Relative Loss: 0.1466
Epoch 31/100, Training Loss: 0.3641, Relative Loss: 0.1303
Epoch 41/100, Training Loss: 0.3338, Relative Loss: 0.1195
Epoch 51/100, Training Loss: 0.3083, Relative Loss: 0.1104
Epoch 61/100, Training Loss: 0.2858, Relative Loss: 0.1023
Epoch 71/100, Training Loss: 0.2688, Relative Loss: 0.0962
Epoch 81/100, Training Loss: 0.2561, Relative Loss: 0.0917
Epoch 91/100, Training Loss: 0.2452, Relative Loss: 0.0878
Test Loss: 0.2400, Relative Loss: 0.0859
