
Epoch 1/100, Training Loss: 42.2281, Relative Loss: 9.4277
Epoch 11/100, Training Loss: 3.3137, Relative Loss: 0.7398
Epoch 21/100, Training Loss: 2.5935, Relative Loss: 0.5790
Epoch 31/100, Training Loss: 2.2393, Relative Loss: 0.4999
Epoch 41/100, Training Loss: 2.0367, Relative Loss: 0.4547
Epoch 51/100, Training Loss: 1.9001, Relative Loss: 0.4242
Epoch 61/100, Training Loss: 1.8241, Relative Loss: 0.4072
Epoch 71/100, Training Loss: 1.7030, Relative Loss: 0.3802
Epoch 81/100, Training Loss: 1.6241, Relative Loss: 0.3626
Epoch 91/100, Training Loss: 1.5558, Relative Loss: 0.3473
Test Loss: 1.3779, Relative Loss: 0.3076
