
Epoch 1/100, Training Loss: 44.4076, Relative Loss: 9.9143
Epoch 11/100, Training Loss: 3.2608, Relative Loss: 0.7280
Epoch 21/100, Training Loss: 2.3903, Relative Loss: 0.5337
Epoch 31/100, Training Loss: 2.1223, Relative Loss: 0.4738
Epoch 41/100, Training Loss: 1.9467, Relative Loss: 0.4346
Epoch 51/100, Training Loss: 1.8299, Relative Loss: 0.4085
Epoch 61/100, Training Loss: 1.6908, Relative Loss: 0.3775
Epoch 71/100, Training Loss: 1.5957, Relative Loss: 0.3563
Epoch 81/100, Training Loss: 1.5320, Relative Loss: 0.3420
Epoch 91/100, Training Loss: 1.4762, Relative Loss: 0.3296
Test Loss: 1.2969, Relative Loss: 0.2895
