
Epoch 1/100, Training Loss: 40.5611, Relative Loss: 9.0555
Epoch 11/100, Training Loss: 3.6952, Relative Loss: 0.8250
Epoch 21/100, Training Loss: 2.4872, Relative Loss: 0.5553
Epoch 31/100, Training Loss: 2.1247, Relative Loss: 0.4744
Epoch 41/100, Training Loss: 1.8929, Relative Loss: 0.4226
Epoch 51/100, Training Loss: 1.7775, Relative Loss: 0.3968
Epoch 61/100, Training Loss: 1.6785, Relative Loss: 0.3747
Epoch 71/100, Training Loss: 1.6065, Relative Loss: 0.3587
Epoch 81/100, Training Loss: 1.5226, Relative Loss: 0.3399
Epoch 91/100, Training Loss: 1.4787, Relative Loss: 0.3301
Test Loss: 1.2638, Relative Loss: 0.2822
