
Epoch 1/100, Training Loss: 43.6175, Relative Loss: 9.7379
Epoch 11/100, Training Loss: 2.9298, Relative Loss: 0.6541
Epoch 21/100, Training Loss: 2.2579, Relative Loss: 0.5041
Epoch 31/100, Training Loss: 1.9842, Relative Loss: 0.4430
Epoch 41/100, Training Loss: 1.8508, Relative Loss: 0.4132
Epoch 51/100, Training Loss: 1.7557, Relative Loss: 0.3920
Epoch 61/100, Training Loss: 1.6673, Relative Loss: 0.3722
Epoch 71/100, Training Loss: 1.5758, Relative Loss: 0.3518
Epoch 81/100, Training Loss: 1.5133, Relative Loss: 0.3378
Epoch 91/100, Training Loss: 1.4632, Relative Loss: 0.3267
Test Loss: 1.3359, Relative Loss: 0.2982
