
Epoch 1/100, Training Loss: 57.2674, Relative Loss: 29.2068
Epoch 11/100, Training Loss: 11.9713, Relative Loss: 6.1054
Epoch 21/100, Training Loss: 10.1028, Relative Loss: 5.1525
Epoch 31/100, Training Loss: 9.1690, Relative Loss: 4.6763
Epoch 41/100, Training Loss: 8.6445, Relative Loss: 4.4088
Epoch 51/100, Training Loss: 8.2469, Relative Loss: 4.2060
Epoch 61/100, Training Loss: 7.9927, Relative Loss: 4.0763
Epoch 71/100, Training Loss: 7.7429, Relative Loss: 3.9489
Epoch 81/100, Training Loss: 7.5891, Relative Loss: 3.8705
Epoch 91/100, Training Loss: 7.4556, Relative Loss: 3.8024
Test Loss: 7.1135, Relative Loss: 3.6280
