
Epoch 1/100, Training Loss: 0.4802, Relative Loss: 2.6411
Epoch 11/100, Training Loss: 0.0718, Relative Loss: 0.3947
Epoch 21/100, Training Loss: 0.0599, Relative Loss: 0.3296
Epoch 31/100, Training Loss: 0.0542, Relative Loss: 0.2979
Epoch 41/100, Training Loss: 0.0512, Relative Loss: 0.2814
Epoch 51/100, Training Loss: 0.0479, Relative Loss: 0.2633
Epoch 61/100, Training Loss: 0.0463, Relative Loss: 0.2545
Epoch 71/100, Training Loss: 0.0448, Relative Loss: 0.2462
Epoch 81/100, Training Loss: 0.0437, Relative Loss: 0.2404
Epoch 91/100, Training Loss: 0.0430, Relative Loss: 0.2367
Test Loss: 0.0433, Relative Loss: 0.2382
