
Epoch 1/100, Training Loss: 0.5039, Relative Loss: 2.7713
Epoch 11/100, Training Loss: 0.0750, Relative Loss: 0.4127
Epoch 21/100, Training Loss: 0.0635, Relative Loss: 0.3492
Epoch 31/100, Training Loss: 0.0579, Relative Loss: 0.3185
Epoch 41/100, Training Loss: 0.0549, Relative Loss: 0.3018
Epoch 51/100, Training Loss: 0.0526, Relative Loss: 0.2893
Epoch 61/100, Training Loss: 0.0510, Relative Loss: 0.2806
Epoch 71/100, Training Loss: 0.0496, Relative Loss: 0.2726
Epoch 81/100, Training Loss: 0.0487, Relative Loss: 0.2680
Epoch 91/100, Training Loss: 0.0476, Relative Loss: 0.2618
Test Loss: 0.0451, Relative Loss: 0.2478
