
Epoch 1/100, Training Loss: 2.6972, Relative Loss: 2.7652
Epoch 11/100, Training Loss: 0.7036, Relative Loss: 0.7214
Epoch 21/100, Training Loss: 0.6104, Relative Loss: 0.6258
Epoch 31/100, Training Loss: 0.5257, Relative Loss: 0.5390
Epoch 41/100, Training Loss: 0.4883, Relative Loss: 0.5007
Epoch 51/100, Training Loss: 0.4348, Relative Loss: 0.4458
Epoch 61/100, Training Loss: 0.4008, Relative Loss: 0.4109
Epoch 71/100, Training Loss: 0.3740, Relative Loss: 0.3835
Epoch 81/100, Training Loss: 0.3617, Relative Loss: 0.3708
Epoch 91/100, Training Loss: 0.3485, Relative Loss: 0.3573
Test Loss: 0.3338, Relative Loss: 0.3423
