
Epoch 1/100, Training Loss: 2.6868, Relative Loss: 2.7545
Epoch 11/100, Training Loss: 0.7260, Relative Loss: 0.7443
Epoch 21/100, Training Loss: 0.5674, Relative Loss: 0.5817
Epoch 31/100, Training Loss: 0.5041, Relative Loss: 0.5168
Epoch 41/100, Training Loss: 0.4635, Relative Loss: 0.4751
Epoch 51/100, Training Loss: 0.4356, Relative Loss: 0.4466
Epoch 61/100, Training Loss: 0.4127, Relative Loss: 0.4231
Epoch 71/100, Training Loss: 0.3989, Relative Loss: 0.4090
Epoch 81/100, Training Loss: 0.3792, Relative Loss: 0.3887
Epoch 91/100, Training Loss: 0.3667, Relative Loss: 0.3760
Test Loss: 0.3559, Relative Loss: 0.3649
