
Epoch 1/100, Training Loss: 0.0204, Relative Loss: 0.1124
Epoch 11/100, Training Loss: 0.0002, Relative Loss: 0.0011
Epoch 21/100, Training Loss: 0.0002, Relative Loss: 0.0009
Epoch 31/100, Training Loss: 0.0001, Relative Loss: 0.0008
Epoch 41/100, Training Loss: 0.0001, Relative Loss: 0.0007
Epoch 51/100, Training Loss: 0.0001, Relative Loss: 0.0006
Epoch 61/100, Training Loss: 0.0001, Relative Loss: 0.0006
Epoch 71/100, Training Loss: 0.0001, Relative Loss: 0.0006
Epoch 81/100, Training Loss: 0.0001, Relative Loss: 0.0006
Epoch 91/100, Training Loss: 0.0001, Relative Loss: 0.0005
Test Loss: 0.0001, Relative Loss: 0.0004
